Hf (at.%),Mo (at.%),Nb (at.%),Re (at.%),Ru (at.%),Ta (at.%),Ti (at.%),W (at.%),Zr (at.%),Hardness (GPa)
0,0,25,25,25,0,0,25,0,12.3058236
20,0,20,0,0,20,20,0,20,3.3451677
20,0,20,0,0,20,20,0,20,3.3216309
20,0,20,0,0,20,20,0,20,3.2059083
30,0,15,0,0,15,0,0,40,2.5380516
25,0,0,0,0,25,0,0,50,5.7446137
37.5,0,0,0,0,25,0,0,37.5,6.2365982
25,0,25,25,0,0,0,25,0,8.4559223
0,25,25,0,25,0,0,25,0,10.5807723
25,25,25,25,0,0,0,0,0,7.953477
45,15,20,0,0,20,0,0,0,4.8051031
0,25,25,25,25,0,0,0,0,10.9681488
20,0,20,20,20,0,0,20,0,10.6945335
0,20,20,20,20,0,0,20,0,8.7102505
25,0,25,25,25,0,0,0,0,7.9629571
30,25,30,0,0,15,0,0,0,4.6338075
25,25,25,0,0,0,0,25,0,5.9185245
25,25,0,25,25,0,0,0,0,10.8779244
20,20,20,20,0,0,0,20,0,8.1865567
0,33.33333333,0,0,33.33333333,0,0,33.33333333,0,10.7785468
25,0,25,0,25,25,0,0,0,7.3395588
20,20,20,20,20,0,0,0,0,10.8118906
25,25,0,25,0,25,0,0,0,8.8691239
25,25,25,0,25,0,0,0,0,8.4193095
0,0,25,0,25,25,0,25,0,8.1623661
0,0,25,25,25,25,0,0,0,7.9675337
20,20,0,20,20,0,0,20,0,10.9344781
25,0,25,25,0,25,0,0,0,6.6334548
25,25,0,0,0,25,0,25,0,6.5147901
25,0,0,25,25,0,0,25,0,11.0309136
25,25,25,0,0,25,0,0,0,4.6897074
0,25,25,0,25,25,0,0,0,6.1077996
25,0,25,0,25,0,0,25,0,7.070847
33.33333333,0,0,33.33333333,33.33333333,0,0,0,0,10.5994056
20,20,20,0,20,20,0,0,0,7.3993815
20,20,20,20,0,20,0,0,0,6.5147901
20,0,20,20,0,20,0,20,0,7.1967035
20,0,20,20,20,20,0,0,0,8.2140163
20,0,20,0,20,20,0,20,0,7.5124889
20,20,20,0,20,0,0,20,0,8.4186557
33.33333333,33.33333333,0,0,33.33333333,0,0,0,0,6.5834391
25,0,0,25,0,25,0,25,0,10.2545261
0,0,20,20,20,20,0,20,0,9.6138021
25,0,25,0,0,25,0,25,0,5.321932
20,20,20,0,0,20,0,20,0,5.7884183
25,25,0,0,25,0,0,25,0,8.1731538
20,20,0,20,0,20,0,20,0,8.1166001
25,25,0,0,25,25,0,0,0,7.94367
20,20,0,0,20,20,0,20,0,8.326143
0,20,20,0,20,20,0,20,0,8.2254578
0,0,0,33.33333333,33.33333333,0,0,33.33333333,0,4.5442369
20,20,0,20,20,20,0,0,0,9.731813
25,0,0,0,25,25,0,25,0,8.2006134
25,0,0,25,25,25,0,0,0,7.508893
0,25,0,25,25,0,0,25,0,11.9642131
33.33333333,0,0,0,33.33333333,0,0,33.33333333,0,7.9789752
20,0,0,20,20,20,0,20,0,10.4742029
0,20,20,20,20,20,0,0,0,8.110389
33.33333333,33.33333333,0,0,0,0,0,33.33333333,0,9.0597066
0,33.33333333,0,33.33333333,33.33333333,0,0,0,0,3.9146275
20,20,0,25,0,15,0,20,0,9.3516283
33.33333333,33.33333333,0,33.33333333,0,0,0,0,0,9.6030144
25,25,0,25,0,0,0,25,0,9.2780758
0,16.66666666,16.66666666,16.66666667,16.66666667,16.66666667,0,16.66666667,0,8.4055797
0,25,0,0,25,25,0,25,0,11.0806024
33.33333333,0,0,33.33333333,0,0,0,33.33333333,0,10.212356
32.08021268,0,0,41.7709482,0,0,0,26.14883911,0,10.2738132
0,45.53384141,14.08136181,0,0,0,40.38479678,0,0,4.409881
0,25,0,25,25,25,0,0,0,11.1966519
0,0,0,25,25,25,0,25,0,12.8586115
0,20,0,20,20,20,0,20,0,11.4146942
0,25,25,25,0,0,0,25,0,5.1280803
0,25,25,25,0,25,0,0,0,5.7704388
0,45,0,27.5,0,0,0,27.5,0,4.0025636
0,0,25,25,0,25,0,25,0,6.4141049
0,33.33333333,0,33.33333333,0,0,0,33.33333333,0,4.4151114
0,25,25,0,0,25,0,25,0,4.8917316
0,25,25,0,0,25,0,25,0,4.1905311
0,25,25,0,0,25,0,25,0,4.9172298
0,20,20,20,0,20,0,20,0,5.5945666
0,0,41.16274569,0,0,43.3730509,0,15.46420341,0,3.1781218
0,40.93333649,0,32.95509721,0,26.11156631,0,0,0,6.0447079
0,41.62627096,0,15.36438041,0,0,0,43.00934863,0,3.4507564
0,0,0,38.98965675,0,44.89002835,0,0,16.1203149,9.198966
0,0,0,39.41246849,0,38.18503434,0,0,22.40249718,10.6347108
0,25,0,25,0,25,0,25,0,5.900545
